Key,Type,Desc,English

PartModules/Mining/Enabled,Text,,Drill Enabled
PartModules/Mining/Status,Text,,Status
PartModules/Mining/OreRate,Text,,Ore Rate
PartModules/Mining/StartMining,Text,,Start Mining
PartModules/Mining/StopMining,Text,,Stop Mining
PartModules/Mining/ToggleMining,Text,,Toggle Mining

PartModules/ResourceConverter/TooHigh,Text,,Too Far From Ground

Parts/Title/isru_tank_inline_1v_regolith,Text,,RHT-200
Parts/Subtitle/isru_tank_inline_1v_regolith,Text,,Small Regolith Holding Tank
Parts/Manufacturer/isru_tank_inline_1v_regolith,Text,,Jebediah Kerman’s Junkyard And Spacecraft Parts Co.
Parts/Description/isru_tank_inline_1v_regolith,Text,,"TODO"

Parts/Title/isru_tank_inline_2v_regolith,Text,,RHT-500
Parts/Subtitle/isru_tank_inline_2v_regolith,Text,,Medium Regolith Holding Tank
Parts/Manufacturer/isru_tank_inline_2v_regolith,Text,,Jebediah Kerman’s Junkyard And Spacecraft Parts Co.
Parts/Description/isru_tank_inline_2v_regolith,Text,,"TODO"

Parts/Title/isru_tank_radial_1v_regolith,Text,,RHT-100-R
Parts/Subtitle/isru_tank_radial_1v_regolith,Text,,Radial Regolith Holding Tank
Parts/Manufacturer/isru_tank_radial_1v_regolith,Text,,Jebediah Kerman’s Junkyard And Spacecraft Parts Co.
Parts/Description/isru_tank_radial_1v_regolith,Text,,"TODO"
